task,fleet_size,locations,infrastructure,policy,order,seed,policy_seed,day,started_utc,process_seconds,requests,steps,reset_seconds,wall_seconds,agent_seconds,environment_seconds,overhead_seconds,ms_per_decision_epoch,agent_ms_per_epoch,environment_ms_per_epoch,reward
14,2000,10,S10_2_200,nearest,1,100003,200003,30,2026-09-09T16:20:32.902827+00:00,33.57916697099972,40000,40096,0.2517574940575287,33.793324823025614,14.10803013772238,19.653195676859468,0.03209900844376534,0.8428103756740227,0.35185629832707455,0.49015352346517027,653321.1552113071
14,2000,10,S10_2_200,random,2,100003,200003,30,2026-09-09T16:21:06.948120+00:00,51.16518542100039,40000,66489,0.2513260339619592,51.483378479024395,13.708629188477062,37.72066015179735,0.05408913874998689,0.7743142245939088,0.2061789046079361,0.5673218149137053,634915.6739005881
14,2000,10,S10_2_200,nearest,0,100004,200004,18,2026-09-09T16:21:58.801107+00:00,33.587458556,40000,40096,0.36898986890446395,33.806131573044695,14.04866668372415,19.725295540411025,0.03216934890951961,0.8431297778592551,0.35037576525648817,0.4919517044196684,656828.4514966484
14,2000,10,S10_2_200,random,1,100004,200004,18,2026-09-09T16:22:32.857948+00:00,51.19941073300015,40000,66415,0.25007423700299114,51.509247021982446,13.736452116863802,37.71821778186131,0.05457712325733155,0.7755664687492652,0.20682755577601147,0.56791715398421,631389.3664183439
14,2000,10,S10_2_200,ppo_sampled,2,100004,200004,18,2026-09-09T16:23:24.621719+00:00,58.28337482300003,40000,66422,0.25392773491330445,58.63696628797334,21.05202064430341,37.531190132838674,0.05375551083125174,0.8827943495825681,0.31694349228122326,0.5650415544975862,634895.2720618442
15,2000,20,S20_5_80,nearest,0,100000,200000,5,2026-09-09T16:27:11.519970+00:00,35.76993383399986,40000,40096,0.25330592005047947,36.02040037000552,14.80562644766178,21.182448004488833,0.03232591785490513,0.8983539597467458,0.36925445051031974,0.5282932962013376,677982.0095712414
15,2000,20,S20_5_80,random,1,100000,200000,5,2026-09-09T16:27:47.791554+00:00,59.741419003000374,40000,70280,0.25052578502800316,60.171458004042506,14.71257357869763,45.39745512395166,0.06142930139321834,0.8561675868531945,0.2093422535386686,0.6459512681268021,622342.7788558338
15,2000,20,S20_5_80,ppo_sampled,2,100000,200000,5,2026-09-09T16:28:48.248286+00:00,70.3733943719999,40000,70703,0.28470205201301724,70.86256063298788,24.20323662518058,46.59877215907909,0.060551848728209734,1.0022567731636265,0.34232262598730717,0.6590777217243835,621642.5113140555
15,2000,20,S20_5_80,random,0,100001,200001,17,2026-09-09T16:29:59.441035+00:00,61.093522713999846,40000,71425,0.32958412799052894,61.51903774391394,15.00861469830852,46.44907902448904,0.061344021116383374,0.8613095938944899,0.21013111233193588,0.6503196223239627,640039.8726027012
15,2000,20,S20_5_80,ppo_sampled,1,100001,200001,17,2026-09-09T16:31:01.217463+00:00,69.9377638169999,40000,71724,0.25679243193008006,70.40963698201813,23.97154110262636,46.377998130978085,0.060097748413681984,0.9816747111429664,0.33421924464093417,0.6466175635906821,637579.9273091876
15,2000,20,S20_5_80,nearest,2,100001,200001,17,2026-09-09T16:32:11.883914+00:00,34.93563278900001,40000,40095,0.2561989879468456,35.17199070507195,14.535316094988957,20.603786053252406,0.032888556830585,0.8772163787273213,0.3625219128317485,0.5138742001060582,684238.8875092166
15,2000,20,S20_5_80,ppo_sampled,0,100002,200002,31,2026-09-09T16:32:47.399015+00:00,69.82414195799993,40000,71485,0.34250243997666985,70.27916335000191,23.952185235451907,46.266301544965245,0.06067656958475709,0.9831316129258153,0.33506589124224534,0.6472169202625061,642850.838876333
15,2000,20,S20_5_80,nearest,1,100002,200002,31,2026-09-09T16:33:57.931155+00:00,36.00270900899977,40000,40096,0.25235507800243795,36.247464186977595,14.816594356903806,21.39789637620561,0.03297345386818051,0.9040169639609337,0.36952799174241335,0.5336666095422389,682151.74091636
